address,latitude,longitude
"41, Allée du Professeur Dubos 95350 Saint-Brice-sous-Forêt France",48.998,2.3633
"12, Rue des Merisiers 68920 Wettolsheim France",48.0528,7.33472
"1489, Route des Gorges 83190 Ollioules France",43.1511,5.84715
"196, Rue Nicéphore Niépce 83400 Hyères France",43.1027,6.1428
"20, Avenue Médicis 41000 Blois France",47.5839,1.32068
"62, Avenue Jean Moulin 34500 Béziers France",43.3522,3.23309
"4, Rue de la Monnaie 54000 Nancy France",48.6942,6.17968
"11, Avenue de Friedland 75008 Paris France",48.8746,2.30346
"32, Boulevard Robert Thiboust 77700 Serris France",48.8412,2.78516
"302, Allée des Loges 91000 Évry France",48.6334,2.42631
"7, Chemin du Dodin 69570 Dardilly France",45.8183,4.76125
"25, Rue de Paris 92100 Boulogne-Billancourt France",48.8396,2.24776
"3, Rue De Cremont 97400 Saint-Denis Réunion",-20.8885,55.4524
"103, Avenue de la République 59110 La Madeleine France",50.6463,3.07541
"10, Rue Rosenwald 75015 Paris France",48.8336,2.30603
"14, Rue de Mantes 92700 Colombes France",48.9087,2.2332
"53, Boulevard Victor Hugo 78300 Poissy France",48.9284,2.04557
"47, Rue de la République 69002 Lyon France",45.7615,4.83583
"12, Cité Falguière 75015 Paris France",48.8409,2.31213
"148, Rue des Pyrénées 75020 Paris France",48.8598,2.40158
"6, Rue Maurice Caunes 31200 Toulouse France",43.6398,1.47159
"13, Rue Pierre Gilles de Gennes 76130 Mont-Saint-Aignan France",49.4748,1.08902
"32, Rue de Paradis 75010 Paris France",48.8754,2.3517
"72, Avenue Alfred Borriglione 06100 Nice France",43.7182,7.2617
"1, Place du Centre 35800 Saint-Briac-sur-Mer France",48.6195,-2.13242
"42, Rue Voltaire 92800 Puteaux France",48.8795,2.24178
"11, Rue Jacques Monod 76130 Mont-Saint-Aignan France",49.4771,1.09682
"72, Avenue Marthe Bruniquel 81100 Castres France",43.6245,2.27185
"50, Avenue des Caillols 13012 Marseille France",43.3036,5.42678
",  13300 Salon-de-Provence France",43.6499,5.07028
"235, Avenue des Chênes Rouges 30100 Alès France",44.1138,4.11517
"31, Rue Tronchet 75008 Paris France",48.8731,2.3263
"10, Rue de Méric 57050 Metz France",49.1413,6.16252
"690, Chemin du Colombier 81800 Couffouleux France",43.7801,1.71481
"15, Rue Voltaire 92320 Châtillon France",48.8057,2.28416
"127, Rue Robert Schuman 44800 Saint-Herblain France",47.197,-1.61964
"6, Rue Lallier 75009 Paris France",48.8816,2.34118
"8, Avenue du 8 Mai 1945 64100 Bayonne France",43.4758,-1.48438
"1, Rue du Débarcadère 75017 Paris France",48.8779,2.28746
"2, Avenue Irène et Frédéric Joliot-Curie 26700 Pierrelatte France",44.3754,4.69809
"77, Rue Parmentier 69007 Lyon France",45.7452,4.84465
"11, Rue des Arts et Métiers  Fort-de-France Martinique",14.6045,-61.0433
"29, Chemin des Perriers 95220 Herblay France",48.9923,2.1547
"40, Avenue de l'Arche 92400 Courbevoie France",48.8981,2.23843
"30, Rue du Goujon 67000 Strasbourg France",48.5982,7.78661
"1, Place de la Comédie 69001 Lyon France",45.7677,4.83537
"29, Rue de Strasbourg 44000 Nantes France",47.2186,-1.55377
"2, Rue Frezier 29200 Brest France",48.3915,-4.48483
"9, Place de l'Hôtel de ville 51100 Reims France",49.2581,4.0317
"10, Rue Philippe Marcombes 63000 Clermont-Ferrand France",45.7798,3.08656
"1, Place du Capitole 31000 Toulouse France",43.6038,1.44421
"7, Avenue Christian Doppler 77700 Serris France",48.8412,2.79224
"3, Place de l'Hôtel de ville 17000 La Rochelle France",46.1598,-1.15191
"5, Rue de l'Hôtel de ville 06300 Nice France",43.6959,7.27144
"140, Avenue du Douze Juillet 1998 13290 Aix-en-Provence France",43.4792,5.39536
"555, Chemin du Bois 69140 Rillieux-la-Pape France",45.8102,4.89018
"9, Square Moncey 75009 Paris France",48.8807,2.33034
"276, Avenue du Douard 13400 Aubagne France",43.2867,5.5989
"48, Rue de la Chaussée d'Antin 75009 Paris France",48.8739,2.33335
"5, Rue de Castiglione 75001 Paris France",48.8661,2.32765
"22, Chemin Auguste Boyer   Réunion",-21.3368,55.6121
"5, Rue de Copenhague 93290 Tremblay-en-France France",49.0103,2.56333
"11, Rue Sainte-Colombe 94240 L'Haÿ-les-Roses France",48.777,2.35804
"13, Rue de Terre Noire 49000 Angers France",47.4616,-0.555882
"11, Place du Marché 92370 Chaville France",48.8088,2.18894
"27, Rue Jean Claret 63000 Clermont-Ferrand France",45.7635,3.13728
"4, Rue Faraday 75017 Paris France",48.8816,2.29274
"5, Rue Auguste Dubois 21230 Arnay-le-Duc France",47.1315,4.48644
"53b, Boulevard des Belges 76000 Rouen France",49.444,1.08492
"7, Rue Louis Néel 51430 Bezannes France",49.2215,4.00224
"31, Boulevard Dubouchage 06000 Nice France",43.7011,7.2703
"11, Rue de l'Hôpital Saint-Louis 75010 Paris France",48.8751,2.36501
"7, Avenue de la Marne 68000 Colmar France",48.0746,7.35328
"16, Rue des Telliers 51100 Reims France",49.2566,4.02935
"81, Boulevard Pierre 1er 33110 Le Bouscat France",44.8588,-0.59069
"67, Montée de Saint-Menet 13011 Marseille France",43.292,5.4952
"13, Place d'Orion 92360 Meudon France",48.7864,2.22576
"25, Chemin d'Aussonne 31700 Blagnac France",43.6391,1.38807
"6, Avenue Château du Loir 92400 Courbevoie France",48.8988,2.25063
"52, Rue Urbain Leverrier 25000 Besançon France",47.263,6.0047
